"borrowing","lemma","lang","context","newspaper","url","date","section","start_token","end_token"
"access","access","ENG","que en esta nueva etapa produce Fénix Media ha conseguido liderar la franja de 'access' y ser la emisión más vista de todas las ofertas nocturnas de lunes a","eldiario","https://vertele.eldiario.es/noticias/alta-tension-agosto-audiencias-tres-vias-futuro-concurso-telecinco_1_8222974.html","Monday, 16 August 2021","television","339","340"
"access","access","ENG","programa están más que asentados, y han cumplido ya una década liderando el 'access' y siendo una garantía para la cadena de Atresmedia. Como en otros casos","eldiario","https://vertele.eldiario.es/noticias/ocho-presentadores-estrellas-cadena-luego-competencia_1_8243011.html","Friday, 27 August 2021","television","787","788"
"access","access","ENG","Romero durante cuatro días mínimo.. . El concurso se convierte así en el 'access' de Telecinco durante la mayor parte de la semana y, además, este","eldiario","https://vertele.eldiario.es/noticias/telecinco-apuesta-alta-tension-lunes-jueves-horario-estelar_1_8192748.html","Tuesday, 03 August 2021","television","164","165"
"access prime time","access prime time","ENG",", 'Alta tensión' ya llevará un mes de recorrido en la franja de access prime time y lo más lógico sería que, dada la buena acogida, se mantuviese en","eldiario","https://vertele.eldiario.es/noticias/alta-tension-agosto-audiencias-tres-vias-futuro-concurso-telecinco_1_8222974.html","Monday, 16 August 2021","television","763","766"
"access prime time","access prime time","ENG","la compra de ' Pasapalabra' , que sirvió no solo para reforzar su 'access prime time' sino también para debilitar a su competencia en la última franja de la tarde","eldiario","https://vertele.eldiario.es/noticias/tierra-amarga-agita-batalla-tardes-antena-3-telecinco-clave-audiencias-mes_1_8214484.html","Sunday, 15 August 2021","television","622","625"
"access prime time","access prime time","ENG","Cuatro y después en Antena 3. El programa se mantiene muy fuerte en el access prime time, donde suele liderar sobre la competencia.. . En 2008 creó su propia productora","eldiario","https://vertele.eldiario.es/noticias/festval-vitoria-pablo-motos-premio-joan-ramon-mainat_1_8228936.html","Wednesday, 18 August 2021","television","315","318"
"access prime time","access prime time","ENG","'Viaje al centro de la tele' , recuperado este verano en el 'access prime time'.. . En la parte baja de la clasificación, la pugna entre los","eldiario","https://vertele.eldiario.es/audiencias-tv/telecinco-17-da-remojon-julio-sumar-35-lideratos-seguidos-1-coge-aire-8-9_1_8187205.html","Sunday, 01 August 2021","television","1058","1061"
"access prime time","access prime time","ENG","partes de 'Salto a la fama', que se emiten en el 'access prime time' del, servirán para rastrear algunas imágenes tan sorprendentes como la del mismísimo rey","eldiario","https://vertele.eldiario.es/noticias/pasado-felipe-vi-actor-carrera-monica-garcia-atletismo-rescatados-viaje-centro-tele_1_8256570.html","Monday, 30 August 2021","television","118","121"
"access prime time","access prime time","ENG","a la televisión de 'Alta tensión' con Christian Gálvez lidera la franja de access prime time con un 12.9% cuota y 1.613.000 espectadores. Es la oferta nocturna más seguida","eldiario","https://vertele.eldiario.es/audiencias-tv/lunes-2-agosto-alta-tension-estreno-telecinco-inocentes-antena3-doc-serie_1_8192401.html","Tuesday, 03 August 2021","television","109","112"
"adult teen","adult teen","ENG","ello ha decidido sumarse a una de las tendencias de la temporada, el ‘adult teen’ o la recuperación de prendas de la adolescencia.. . Las sudaderas podrían ser","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/moda/2021-08-02/nuria-roca-estilo-armario-pantalon-palazzo-mono_3203968/","Monday, 02 August 2021","moda","652","654"
